id,left_sel,right_sel,gb_size,time_ms
"sum:cases:countriesandterritories:daterep:2020-01-16:2020-01-18",0.0033359888468432585,0.0033359888468432585,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-05:2020-01-27",0.0033359888468432585,0.0033359888468432585,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-24:2020-02-02",0.0033359888468432585,0.0033359888468432585,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-06:2020-02-11",0.0033359888468432585,0.0033359888468432585,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-13:2020-02-15",0.0033359888468432585,0.0033359888468432585,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-30:2020-02-17",0.0033359888468432585,0.0033359888468432585,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-29:2020-02-28",0.0033359888468432585,0.0033359888468432585,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-21:2020-02-28",0.0033359888468432585,0.0033359888468432585,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-25:2020-02-29",0.0033359888468432585,0.0033359888468432585,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-04:2020-03-01",0.0033359888468432585,0.0033359888468432585,210,3.0
"sum:cases:countriesandterritories:daterep:2020-01-11:2020-03-03",0.0033359888468432585,0.0020414260107548296,210,2.0
"sum:cases:countriesandterritories:daterep:2020-03-02:2020-03-06",0.0033359888468432585,0.0028878709420434175,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-01:2020-03-10",0.0033359888468432585,0.003136825333598885,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-04:2020-03-10",0.0033359888468432585,0.003136825333598885,210,2.0
"sum:cases:countriesandterritories:daterep:2020-03-03:2020-03-11",0.0020414260107548296,0.0038338976299541923,210,2.0
"sum:cases:countriesandterritories:daterep:2020-03-08:2020-03-13",0.002937661820354511,0.0045309699263095,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-28:2020-03-15",0.0033359888468432585,0.006024696275642302,210,2.0
"sum:cases:countriesandterritories:daterep:2020-03-06:2020-03-15",0.0028878709420434175,0.006024696275642302,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-21:2020-03-16",0.0033359888468432585,0.006373232423819956,210,2.0
"sum:cases:countriesandterritories:daterep:2020-03-06:2020-03-18",0.0028878709420434175,0.0070703047201752635,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-03:2020-03-19",0.0033359888468432585,0.007418840868352918,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-01:2020-03-20",0.0033359888468432585,0.008115913164708225,210,2.0
"sum:cases:countriesandterritories:daterep:2020-03-02:2020-03-21",0.0033359888468432585,0.008514240191196972,210,3.0
"sum:cases:countriesandterritories:daterep:2020-02-25:2020-03-23",0.0033359888468432585,0.00891256721768572,210,3.0
"sum:cases:countriesandterritories:daterep:2020-03-18:2020-03-24",0.0070703047201752635,0.009161521609241188,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-24:2020-03-28",0.0033359888468432585,0.009709221270663215,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-21:2020-03-29",0.0033359888468432585,0.009709221270663215,210,3.0
"sum:cases:countriesandterritories:daterep:2020-01-14:2020-03-30",0.0033359888468432585,0.009709221270663215,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-19:2020-04-01",0.0033359888468432585,0.009858593905596494,210,2.0
"sum:cases:countriesandterritories:daterep:2020-03-12:2020-04-07",0.004431388169687313,0.010107548297151962,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-05:2020-04-09",0.0033359888468432585,0.010157339175463055,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-30:2020-04-11",0.0033359888468432585,0.010207130053774148,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-07:2020-04-12",0.0033359888468432585,0.010207130053774148,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-12:2020-04-15",0.0033359888468432585,0.010207130053774148,210,2.0
"sum:cases:countriesandterritories:daterep:2020-04-12:2020-04-17",0.010207130053774148,0.010207130053774148,210,2.0
"sum:cases:countriesandterritories:daterep:2020-02-17:2020-04-19",0.0033359888468432585,0.010207130053774148,210,2.0
"sum:cases:countriesandterritories:daterep:2020-04-14:2020-04-20",0.010207130053774148,0.010207130053774148,210,2.0
"sum:cases:countriesandterritories:daterep:2020-01-29:2020-04-23",0.0033359888468432585,0.010207130053774148,210,2.0
"sum:cases:countriesandterritories:daterep:2020-04-22:2020-04-25",0.010207130053774148,0.010207130053774148,210,2.0
