country	year	month	day	vaccine	total_vaccinations	continent
Chile	2021	2021-3	2021-03-07	Pfizer/BioNTech	328000	America
Chile	2021	2021-3	2021-03-07	Sinovac	4314483	America
Chile	2021	2021-3	2021-03-08	Pfizer/BioNTech	340538	America
Chile	2021	2021-3	2021-03-08	Sinovac	4652459	America
Chile	2021	2021-3	2021-03-09	Pfizer/BioNTech	378033	America
Chile	2021	2021-3	2021-03-09	Sinovac	4991380	America
Chile	2021	2021-3	2021-03-10	Pfizer/BioNTech	419560	America
Chile	2021	2021-3	2021-03-10	Sinovac	5351066	America
Chile	2021	2021-3	2021-03-11	Pfizer/BioNTech	465247	America
Chile	2021	2021-3	2021-03-11	Sinovac	5722343	America
Chile	2021	2021-3	2021-03-12	Pfizer/BioNTech	482588	America
Chile	2021	2021-3	2021-03-12	Sinovac	6079228	America
Chile	2021	2021-3	2021-03-13	Pfizer/BioNTech	483141	America
Chile	2021	2021-3	2021-03-13	Sinovac	6129118	America
Chile	2021	2021-3	2021-03-14	Pfizer/BioNTech	483141	America
Chile	2021	2021-3	2021-03-14	Sinovac	6135699	America
Chile	2021	2021-3	2021-03-15	Pfizer/BioNTech	506894	America
Chile	2021	2021-3	2021-03-15	Sinovac	6542025	America
Chile	2021	2021-3	2021-03-16	Pfizer/BioNTech	560101	America
Chile	2021	2021-3	2021-03-16	Sinovac	6898594	America
Chile	2021	2021-3	2021-03-17	Pfizer/BioNTech	615129	America
Chile	2021	2021-3	2021-03-17	Sinovac	7210325	America
Chile	2021	2021-3	2021-03-18	Pfizer/BioNTech	663847	America
Chile	2021	2021-3	2021-03-18	Sinovac	7495616	America
Chile	2021	2021-3	2021-03-19	Pfizer/BioNTech	682997	America
Chile	2021	2021-3	2021-03-19	Sinovac	7766961	America
Chile	2021	2021-3	2021-03-20	Pfizer/BioNTech	684850	America
Chile	2021	2021-3	2021-03-20	Sinovac	7799236	America
Chile	2021	2021-3	2021-03-21	Pfizer/BioNTech	684851	America
Chile	2021	2021-3	2021-03-21	Sinovac	7803257	America
Chile	2021	2021-3	2021-03-22	Pfizer/BioNTech	718047	America
Chile	2021	2021-3	2021-03-22	Sinovac	8035874	America
Chile	2021	2021-3	2021-03-23	Pfizer/BioNTech	774594	America
Chile	2021	2021-3	2021-03-23	Sinovac	8216763	America
Chile	2021	2021-3	2021-03-24	Pfizer/BioNTech	826001	America
Chile	2021	2021-3	2021-03-24	Sinovac	8382891	America
Chile	2021	2021-3	2021-03-25	Pfizer/BioNTech	879535	America
Chile	2021	2021-3	2021-03-25	Sinovac	8540955	America
Chile	2021	2021-3	2021-03-26	Pfizer/BioNTech	917260	America
Chile	2021	2021-3	2021-03-26	Sinovac	8720170	America
Chile	2021	2021-3	2021-03-27	Pfizer/BioNTech	919249	America
Chile	2021	2021-3	2021-03-27	Sinovac	8733800	America
Chile	2021	2021-3	2021-03-28	Pfizer/BioNTech	919249	America
Chile	2021	2021-3	2021-03-28	Sinovac	8735191	America
Chile	2021	2021-3	2021-03-29	Pfizer/BioNTech	940760	America
Chile	2021	2021-3	2021-03-29	Sinovac	8979846	America
Chile	2021	2021-3	2021-03-30	Pfizer/BioNTech	997419	America
Chile	2021	2021-3	2021-03-30	Sinovac	9200952	America
Chile	2021	2021-3	2021-03-31	Pfizer/BioNTech	1042976	America
Chile	2021	2021-3	2021-03-31	Sinovac	9435033	America
Chile	2021	2021-4	2021-04-01	Pfizer/BioNTech	1066229	America
Chile	2021	2021-4	2021-04-01	Sinovac	9714493	America
Chile	2021	2021-4	2021-04-02	Pfizer/BioNTech	1066452	America
Chile	2021	2021-4	2021-04-02	Sinovac	9721293	America
Chile	2021	2021-4	2021-04-03	Pfizer/BioNTech	1066642	America
